id,partner,pretest_total,pretest_percent,squat_total,squat_percent,pushup_total,pushup_percent,final_total,final_percent
1,3.0,2.583333333333333,86.1111111111111,4.0,100.0,3.6,90.0,10.964285714285717,91.36904761904762
2,0.0,1.75,58.33333333333334,4.0,100.0,4.0,100.0,10.890476190476189,90.75396825396824
0,2.0,1.5,50.0,4.0,100.0,4.0,100.0,11.054761904761904,92.12301587301589
3,1.0,1.9166666666666663,63.88888888888889,4.0,100.0,3.6,90.0,11.183333333333335,93.19444444444444
4,,2.25,75.0,3.333333333333333,83.33333333333334,4.0,100.0,10.890476190476189,90.75396825396824
5,,1.25,41.66666666666667,3.0,75.0,4.0,100.0,10.154761904761905,84.62301587301587
6,,3.0,100.0,1.8,45.0,3.6,90.0,9.457142857142856,78.80952380952381
7,,2.333333333333333,77.7777777777778,3.333333333333333,83.33333333333334,4.0,100.0,9.19047619047619,76.58730158730158
8,,3.0,100.0,3.6666666666666665,91.66666666666666,4.0,100.0,10.564285714285713,88.03571428571428
9,,2.75,91.66666666666666,3.1333333333333333,78.33333333333333,4.0,100.0,10.047619047619047,83.73015873015873
10,,1.25,41.66666666666667,3.8,95.0,3.0,75.0,9.054761904761904,75.45634920634919
11,,2.75,91.66666666666666,3.333333333333333,83.33333333333334,4.0,100.0,10.304761904761904,85.87301587301587
12,,2.0,66.66666666666666,3.6666666666666665,91.66666666666666,4.0,100.0,7.511904761904763,62.599206349206355
13,,1.5833333333333337,52.77777777777778,4.0,100.0,3.6,90.0,9.94047619047619,82.83730158730158
14,,2.333333333333333,77.7777777777778,3.333333333333333,83.33333333333334,3.6,90.0,9.061904761904762,75.51587301587301
15,,3.0,100.0,4.0,100.0,4.0,100.0,10.807142857142857,90.05952380952381
16,18.0,1.0,33.33333333333333,3.333333333333333,83.33333333333334,3.0,75.0,9.364285714285714,78.03571428571429
17,19.0,2.1666666666666665,72.2222222222222,3.0,75.0,4.0,100.0,10.933333333333335,91.11111111111113
18,16.0,2.75,91.66666666666666,3.6,90.0,3.6,90.0,10.683333333333334,89.0277777777778
19,17.0,2.5,83.33333333333334,4.0,100.0,4.0,100.0,10.283333333333333,85.69444444444444
20,21.0,3.0,100.0,4.0,100.0,3.6,90.0,10.097619047619046,84.14682539682539
21,20.0,2.5,83.33333333333334,3.0,75.0,3.8,95.0,11.383333333333333,94.86111111111113
22,23.0,2.5,83.33333333333334,4.0,100.0,4.0,100.0,10.69047619047619,89.08730158730158
23,22.0,2.1666666666666665,72.2222222222222,3.6666666666666665,91.66666666666666,4.0,100.0,11.197619047619048,93.31349206349206
